fips,county_name,elevation_m,county_label,median_income_2021,diabetes_pct,obesity_pct,oxygen_proxy_mmhg,oxygen_fraction_of_sea_level,hypoxia_burden,all_cancer_incidence_rate,all_cancer_mortality_rate,all_cancer_incidence_count,all_cancer_mortality_count,all_cancer_incidence_population,all_cancer_mortality_population
28155,Webster,126.726882414857,"Webster County, Mississippi",53363.0,8.4,28.6,146.9957568594628,0.9840818940284909,0.01591810597150911,,,,,,
28157,Wilkinson,68.9032473467817,"Wilkinson County, Mississippi",31412.0,9.1,25.8,148.0770935424895,0.9913210407484386,0.008678959251561369,,,,,,
28159,Winston,141.875264109613,"Winston County, Mississippi",39725.0,13.9,36.3,146.71346642404524,0.9821920646056088,0.017807935394391183,,,,,,
28161,Yalobusha,98.6700877357202,"Yalobusha County, Mississippi",44348.0,13.3,30.3,147.5196844309018,0.9875893941621742,0.012410605837825828,,,,,,
28163,Yazoo,58.2283732195576,"Yazoo County, Mississippi",40037.0,8.7,24.0,148.27737856369072,0.9926618744379284,0.007338125562071585,,,,,,
29001,Adair,272.79876071863,"Adair County, Missouri",46639.0,7.6,25.1,144.2908046152972,0.9659732452853843,0.03402675471461569,,,,,,
29003,Andrew,298.994821535661,"Andrew County, Missouri",63769.0,6.9,22.3,143.80972682122618,0.9627526084664789,0.03724739153352108,,,,,,
29005,Atchison,303.973678532143,"Atchison County, Missouri",53867.0,9.1,26.9,143.71843020996104,0.9621414116261642,0.03785858837383582,,,,,,
29007,Audrain,243.123982131115,"Audrain County, Missouri",47178.0,8.0,26.0,144.83723991574118,0.9696314262894732,0.030368573710526814,,,,,,
29009,Barry,404.11079615282,"Barry County, Missouri",49574.0,8.3,29.9,141.89153457329883,0.9499110251393096,0.050088974860690416,,,,,,
29011,Barton,289.607249975629,"Barton County, Missouri",45113.0,7.2,21.7,143.98198497710513,0.9639058127216281,0.03609418727837188,,,,,,
29013,Bates,257.07975844327,"Bates County, Missouri",52093.0,8.7,29.8,144.58006136156413,0.9679097115671903,0.0320902884328097,,,,,,
29015,Benton,262.688699137652,"Benton County, Missouri",45533.0,8.0,24.2,144.47679678772298,0.9672183936707913,0.03278160632920868,,,,,,
29017,Bollinger,179.587650535033,"Bollinger County, Missouri",51250.0,7.7,28.0,146.0124818872897,0.9774992339732621,0.022500766026737895,,,,,,
29019,Boone,235.820106154919,"Boone County, Missouri",62653.0,7.4,27.7,144.97197471450696,0.9705334256314524,0.029466574368547604,,,,,,
29021,Buchanan,283.934713306994,"Buchanan County, Missouri",54073.0,11.7,33.7,144.08614950821777,0.9646031554970793,0.03539684450292069,,,,,,
29023,Butler,114.982539657342,"Butler County, Missouri",44842.0,9.2,33.6,147.21489646424706,0.9855489521391473,0.014451047860852717,,,,,,
29025,Caldwell,271.63221022662,"Caldwell County, Missouri",54321.0,7.7,25.4,144.3122560729677,0.9661168548122515,0.03388314518774849,,,,,,
29027,Callaway,232.693139765954,"Callaway County, Missouri",63791.0,10.9,31.1,145.0296869919623,0.9709197878538753,0.029080212146124662,,,,,,
29029,Camden,265.783278262633,"Camden County, Missouri",55717.0,8.4,19.5,144.4198473318817,0.9668371382552234,0.03316286174477656,,,,,,
29031,Cape Girardeau,137.993451409161,"Cape Girardeau County, Missouri",59252.0,9.8,30.4,146.78576485513668,0.9826760756990158,0.017323924300984173,,,,,,
29033,Carroll,224.949617265974,"Carroll County, Missouri",54967.0,9.3,23.7,145.17267887161296,0.9718770652798614,0.028122934720138604,,,,,,
29035,Carter,221.22399882947,"Carter County, Missouri",42378.0,6.7,18.8,145.24151421732273,0.9723378923052765,0.027662107694723548,,,,,,
29037,Cass,278.01567676371,"Cass County, Missouri",76924.0,8.1,32.0,144.19490138912926,0.9653312088724488,0.03466879112755117,,,,,,
29039,Cedar,276.644580188979,"Cedar County, Missouri",41211.0,6.5,19.0,144.22010174861336,0.9654999159019656,0.0345000840980344,,,,,,
29041,Chariton,212.721239263361,"Chariton County, Missouri",56758.0,9.0,30.2,145.39870577718077,0.9733902313064511,0.02660976869354892,,,,,,
29043,Christian,382.589882114955,"Christian County, Missouri",69212.0,8.7,29.2,142.28266832988137,0.952529520096033,0.04747047990396702,,,,,,
29045,Clark,196.948979548636,"Clark County, Missouri",45965.0,8.2,23.8,145.69063108174888,0.9753445625930941,0.0246554374069059,,,,,,
29047,Clay,268.811315536499,"Clay County, Missouri",75596.0,9.0,32.5,144.364138917501,0.9664641911504339,0.033535808849566084,,,,,,
29049,Clinton,301.040818868811,"Clinton County, Missouri",63876.0,8.3,24.1,143.77220433351488,0.962501409373631,0.037498590626368955,,,,,,
