model_name,analysis_group,event_type,site,fold,n_test,outcome_r2,treatment_r2
site_mortality__colon_and_rectum__total_effect,site,Mortality,Colon and Rectum,1,173,0.43067426289269173,0.7501362303590343
site_mortality__colon_and_rectum__total_effect,site,Mortality,Colon and Rectum,2,173,0.29564146498682475,0.6901649144911457
site_mortality__colon_and_rectum__total_effect,site,Mortality,Colon and Rectum,3,173,0.32154123336691964,0.6281116931007005
site_mortality__colon_and_rectum__total_effect,site,Mortality,Colon and Rectum,4,173,0.28625996475139603,0.7525425944426611
site_mortality__colon_and_rectum__direct_effect,site,Mortality,Colon and Rectum,0,174,0.4702105517118015,0.7148068653310473
site_mortality__colon_and_rectum__direct_effect,site,Mortality,Colon and Rectum,1,173,0.4362625392819466,0.7518656968082327
site_mortality__colon_and_rectum__direct_effect,site,Mortality,Colon and Rectum,2,173,0.30615396257574967,0.6860821146037719
site_mortality__colon_and_rectum__direct_effect,site,Mortality,Colon and Rectum,3,173,0.3305212855722315,0.6462636657442014
site_mortality__colon_and_rectum__direct_effect,site,Mortality,Colon and Rectum,4,173,0.2933721107867985,0.7480251700536968
site_mortality__pancreas__total_effect,site,Mortality,Pancreas,0,141,0.05235095788510136,0.6815330576932428
site_mortality__pancreas__total_effect,site,Mortality,Pancreas,1,141,0.16398551994680843,0.7393813392417588
site_mortality__pancreas__total_effect,site,Mortality,Pancreas,2,141,0.12478049459382712,0.8083846571603743
site_mortality__pancreas__total_effect,site,Mortality,Pancreas,3,140,0.13307983148630276,0.7681873584334775
site_mortality__pancreas__total_effect,site,Mortality,Pancreas,4,140,0.14293674167731052,0.628023451210586
site_mortality__pancreas__direct_effect,site,Mortality,Pancreas,0,141,0.058449472593462115,0.692784049135177
site_mortality__pancreas__direct_effect,site,Mortality,Pancreas,1,141,0.16978805569247657,0.7453039264324768
site_mortality__pancreas__direct_effect,site,Mortality,Pancreas,2,141,0.13160465710133384,0.8107617732261236
site_mortality__pancreas__direct_effect,site,Mortality,Pancreas,3,140,0.11007289801987274,0.7711361038689314
site_mortality__pancreas__direct_effect,site,Mortality,Pancreas,4,140,0.16707938074709883,0.6278271040835495
site_mortality__male_and_female_breast__total_effect,site,Mortality,Male and Female Breast,0,131,0.2699787659381079,0.7126833950739067
site_mortality__male_and_female_breast__total_effect,site,Mortality,Male and Female Breast,1,131,0.17608336735736518,0.6917159501579698
site_mortality__male_and_female_breast__total_effect,site,Mortality,Male and Female Breast,2,131,0.06040010922612027,0.7658099103632301
site_mortality__male_and_female_breast__total_effect,site,Mortality,Male and Female Breast,3,130,0.11091975476915805,0.8143319924173648
site_mortality__male_and_female_breast__total_effect,site,Mortality,Male and Female Breast,4,130,0.22435581161134555,0.6665805963270075
site_mortality__male_and_female_breast__direct_effect,site,Mortality,Male and Female Breast,0,131,0.2523519469812946,0.711091743897891
site_mortality__male_and_female_breast__direct_effect,site,Mortality,Male and Female Breast,1,131,0.167778944897376,0.6988935875317237
site_mortality__male_and_female_breast__direct_effect,site,Mortality,Male and Female Breast,2,131,0.048058985995804604,0.7671520096564332
site_mortality__male_and_female_breast__direct_effect,site,Mortality,Male and Female Breast,3,130,0.11170431561762728,0.8153800259517485
site_mortality__male_and_female_breast__direct_effect,site,Mortality,Male and Female Breast,4,130,0.2336980698240012,0.6684540048560814
site_mortality__prostate__total_effect,site,Mortality,Prostate,0,113,0.4198636038913708,0.7874778306892773
site_mortality__prostate__total_effect,site,Mortality,Prostate,1,113,0.24287103414593736,0.7280104399848042
site_mortality__prostate__total_effect,site,Mortality,Prostate,2,112,0.3668460421557985,0.7436745082933989
site_mortality__prostate__total_effect,site,Mortality,Prostate,3,112,0.21654069814830745,0.7065841159468886
site_mortality__prostate__total_effect,site,Mortality,Prostate,4,112,0.3680094596381306,0.5353865639014888
site_mortality__prostate__direct_effect,site,Mortality,Prostate,0,113,0.4287959611812949,0.7760893960676007
site_mortality__prostate__direct_effect,site,Mortality,Prostate,1,113,0.2398629624658165,0.7214125597222989
site_mortality__prostate__direct_effect,site,Mortality,Prostate,2,112,0.3641090859898388,0.75468423295034
site_mortality__prostate__direct_effect,site,Mortality,Prostate,3,112,0.22748843092971194,0.7191814642876091
site_mortality__prostate__direct_effect,site,Mortality,Prostate,4,112,0.3636759405164065,0.5419997050283384
site_mortality__liver_and_intrahepatic_bile_duct__total_effect,site,Mortality,Liver and Intrahepatic Bile Duct,0,100,0.3590232887017579,0.7697166812200384
site_mortality__liver_and_intrahepatic_bile_duct__total_effect,site,Mortality,Liver and Intrahepatic Bile Duct,1,100,0.23334769978456016,0.7058289168319147
