source,feature,source_column
acs_dp02,acs_dp02_dp02_0047m,dp02_0047m
acs_dp02,acs_dp02_dp02_0047pe,dp02_0047pe
acs_dp02,acs_dp02_dp02_0047pm,dp02_0047pm
acs_dp02,acs_dp02_dp02_0048e,dp02_0048e
acs_dp02,acs_dp02_dp02_0048m,dp02_0048m
acs_dp02,acs_dp02_dp02_0048pe,dp02_0048pe
acs_dp02,acs_dp02_dp02_0048pm,dp02_0048pm
acs_dp02,acs_dp02_dp02_0049e,dp02_0049e
acs_dp02,acs_dp02_dp02_0049m,dp02_0049m
acs_dp02,acs_dp02_dp02_0049pe,dp02_0049pe
acs_dp02,acs_dp02_dp02_0049pm,dp02_0049pm
acs_dp02,acs_dp02_dp02_0050e,dp02_0050e
acs_dp02,acs_dp02_dp02_0050m,dp02_0050m
acs_dp02,acs_dp02_dp02_0050pe,dp02_0050pe
acs_dp02,acs_dp02_dp02_0050pm,dp02_0050pm
acs_dp02,acs_dp02_dp02_0051e,dp02_0051e
acs_dp02,acs_dp02_dp02_0051m,dp02_0051m
acs_dp02,acs_dp02_dp02_0051pe,dp02_0051pe
acs_dp02,acs_dp02_dp02_0051pm,dp02_0051pm
acs_dp02,acs_dp02_dp02_0052e,dp02_0052e
acs_dp02,acs_dp02_dp02_0052m,dp02_0052m
acs_dp02,acs_dp02_dp02_0052pe,dp02_0052pe
acs_dp02,acs_dp02_dp02_0052pm,dp02_0052pm
acs_dp02,acs_dp02_dp02_0053e,dp02_0053e
acs_dp02,acs_dp02_dp02_0053m,dp02_0053m
acs_dp02,acs_dp02_dp02_0053pe,dp02_0053pe
acs_dp02,acs_dp02_dp02_0053pm,dp02_0053pm
acs_dp02,acs_dp02_dp02_0054e,dp02_0054e
acs_dp02,acs_dp02_dp02_0054m,dp02_0054m
acs_dp02,acs_dp02_dp02_0054pe,dp02_0054pe
acs_dp02,acs_dp02_dp02_0054pm,dp02_0054pm
acs_dp02,acs_dp02_dp02_0055e,dp02_0055e
acs_dp02,acs_dp02_dp02_0055m,dp02_0055m
acs_dp02,acs_dp02_dp02_0055pe,dp02_0055pe
acs_dp02,acs_dp02_dp02_0055pm,dp02_0055pm
acs_dp02,acs_dp02_dp02_0056e,dp02_0056e
acs_dp02,acs_dp02_dp02_0056m,dp02_0056m
acs_dp02,acs_dp02_dp02_0056pe,dp02_0056pe
acs_dp02,acs_dp02_dp02_0056pm,dp02_0056pm
acs_dp02,acs_dp02_dp02_0057e,dp02_0057e
acs_dp02,acs_dp02_dp02_0057m,dp02_0057m
acs_dp02,acs_dp02_dp02_0057pe,dp02_0057pe
acs_dp02,acs_dp02_dp02_0057pm,dp02_0057pm
acs_dp02,acs_dp02_dp02_0058e,dp02_0058e
acs_dp02,acs_dp02_dp02_0058m,dp02_0058m
acs_dp02,acs_dp02_dp02_0058pe,dp02_0058pe
acs_dp02,acs_dp02_dp02_0058pm,dp02_0058pm
acs_dp02,acs_dp02_dp02_0059e,dp02_0059e
acs_dp02,acs_dp02_dp02_0059m,dp02_0059m
acs_dp02,acs_dp02_dp02_0059pe,dp02_0059pe
acs_dp02,acs_dp02_dp02_0059pm,dp02_0059pm
acs_dp02,acs_dp02_dp02_0060e,dp02_0060e
acs_dp02,acs_dp02_dp02_0060m,dp02_0060m
acs_dp02,acs_dp02_dp02_0060pe,dp02_0060pe
acs_dp02,acs_dp02_dp02_0060pm,dp02_0060pm
acs_dp02,acs_dp02_dp02_0061e,dp02_0061e
acs_dp02,acs_dp02_dp02_0061m,dp02_0061m
acs_dp02,acs_dp02_dp02_0061pe,dp02_0061pe
acs_dp02,acs_dp02_dp02_0061pm,dp02_0061pm
acs_dp02,acs_dp02_dp02_0062e,dp02_0062e
acs_dp02,acs_dp02_dp02_0062m,dp02_0062m
acs_dp02,acs_dp02_dp02_0062pe,dp02_0062pe
acs_dp02,acs_dp02_dp02_0062pm,dp02_0062pm
acs_dp02,acs_dp02_dp02_0063e,dp02_0063e
acs_dp02,acs_dp02_dp02_0063m,dp02_0063m
acs_dp02,acs_dp02_dp02_0063pe,dp02_0063pe
acs_dp02,acs_dp02_dp02_0063pm,dp02_0063pm
acs_dp02,acs_dp02_dp02_0064e,dp02_0064e
acs_dp02,acs_dp02_dp02_0064m,dp02_0064m
acs_dp02,acs_dp02_dp02_0064pe,dp02_0064pe
acs_dp02,acs_dp02_dp02_0064pm,dp02_0064pm
acs_dp02,acs_dp02_dp02_0065e,dp02_0065e
acs_dp02,acs_dp02_dp02_0065m,dp02_0065m
acs_dp02,acs_dp02_dp02_0065pe,dp02_0065pe
acs_dp02,acs_dp02_dp02_0065pm,dp02_0065pm
acs_dp02,acs_dp02_dp02_0066e,dp02_0066e
acs_dp02,acs_dp02_dp02_0066m,dp02_0066m
acs_dp02,acs_dp02_dp02_0066pe,dp02_0066pe
acs_dp02,acs_dp02_dp02_0066pm,dp02_0066pm
acs_dp02,acs_dp02_dp02_0067e,dp02_0067e
acs_dp02,acs_dp02_dp02_0067m,dp02_0067m
acs_dp02,acs_dp02_dp02_0067pe,dp02_0067pe
acs_dp02,acs_dp02_dp02_0067pm,dp02_0067pm
acs_dp02,acs_dp02_dp02_0068e,dp02_0068e
acs_dp02,acs_dp02_dp02_0068m,dp02_0068m
acs_dp02,acs_dp02_dp02_0068pe,dp02_0068pe
acs_dp02,acs_dp02_dp02_0068pm,dp02_0068pm
acs_dp02,acs_dp02_dp02_0069e,dp02_0069e
acs_dp02,acs_dp02_dp02_0069m,dp02_0069m
acs_dp02,acs_dp02_dp02_0069pe,dp02_0069pe
acs_dp02,acs_dp02_dp02_0069pm,dp02_0069pm
acs_dp02,acs_dp02_dp02_0070e,dp02_0070e
acs_dp02,acs_dp02_dp02_0070m,dp02_0070m
acs_dp02,acs_dp02_dp02_0070pe,dp02_0070pe
acs_dp02,acs_dp02_dp02_0070pm,dp02_0070pm
acs_dp02,acs_dp02_dp02_0071e,dp02_0071e
acs_dp02,acs_dp02_dp02_0071m,dp02_0071m
acs_dp02,acs_dp02_dp02_0071pe,dp02_0071pe
acs_dp02,acs_dp02_dp02_0071pm,dp02_0071pm
acs_dp02,acs_dp02_dp02_0072e,dp02_0072e
acs_dp02,acs_dp02_dp02_0072m,dp02_0072m
acs_dp02,acs_dp02_dp02_0072pe,dp02_0072pe
acs_dp02,acs_dp02_dp02_0072pm,dp02_0072pm
acs_dp02,acs_dp02_dp02_0073e,dp02_0073e
acs_dp02,acs_dp02_dp02_0073m,dp02_0073m
acs_dp02,acs_dp02_dp02_0073pe,dp02_0073pe
acs_dp02,acs_dp02_dp02_0073pm,dp02_0073pm
acs_dp02,acs_dp02_dp02_0074e,dp02_0074e
acs_dp02,acs_dp02_dp02_0074m,dp02_0074m
acs_dp02,acs_dp02_dp02_0074pe,dp02_0074pe
acs_dp02,acs_dp02_dp02_0074pm,dp02_0074pm
acs_dp02,acs_dp02_dp02_0075e,dp02_0075e
acs_dp02,acs_dp02_dp02_0075m,dp02_0075m
acs_dp02,acs_dp02_dp02_0075pe,dp02_0075pe
acs_dp02,acs_dp02_dp02_0075pm,dp02_0075pm
acs_dp02,acs_dp02_dp02_0076e,dp02_0076e
acs_dp02,acs_dp02_dp02_0076m,dp02_0076m
acs_dp02,acs_dp02_dp02_0076pe,dp02_0076pe
acs_dp02,acs_dp02_dp02_0076pm,dp02_0076pm
acs_dp02,acs_dp02_dp02_0077e,dp02_0077e
acs_dp02,acs_dp02_dp02_0077m,dp02_0077m
acs_dp02,acs_dp02_dp02_0077pe,dp02_0077pe
acs_dp02,acs_dp02_dp02_0077pm,dp02_0077pm
acs_dp02,acs_dp02_dp02_0078e,dp02_0078e
acs_dp02,acs_dp02_dp02_0078m,dp02_0078m
acs_dp02,acs_dp02_dp02_0078pe,dp02_0078pe
acs_dp02,acs_dp02_dp02_0078pm,dp02_0078pm
acs_dp02,acs_dp02_dp02_0079e,dp02_0079e
acs_dp02,acs_dp02_dp02_0079m,dp02_0079m
acs_dp02,acs_dp02_dp02_0079pe,dp02_0079pe
acs_dp02,acs_dp02_dp02_0079pm,dp02_0079pm
acs_dp02,acs_dp02_dp02_0080e,dp02_0080e
acs_dp02,acs_dp02_dp02_0080m,dp02_0080m
acs_dp02,acs_dp02_dp02_0080pe,dp02_0080pe
acs_dp02,acs_dp02_dp02_0080pm,dp02_0080pm
acs_dp02,acs_dp02_dp02_0081e,dp02_0081e
acs_dp02,acs_dp02_dp02_0081m,dp02_0081m
acs_dp02,acs_dp02_dp02_0081pe,dp02_0081pe
acs_dp02,acs_dp02_dp02_0081pm,dp02_0081pm
acs_dp02,acs_dp02_dp02_0082e,dp02_0082e
acs_dp02,acs_dp02_dp02_0082m,dp02_0082m
acs_dp02,acs_dp02_dp02_0082pe,dp02_0082pe
acs_dp02,acs_dp02_dp02_0082pm,dp02_0082pm
acs_dp02,acs_dp02_dp02_0083e,dp02_0083e
acs_dp02,acs_dp02_dp02_0083m,dp02_0083m
acs_dp02,acs_dp02_dp02_0083pe,dp02_0083pe
acs_dp02,acs_dp02_dp02_0083pm,dp02_0083pm
acs_dp02,acs_dp02_dp02_0084e,dp02_0084e
acs_dp02,acs_dp02_dp02_0084m,dp02_0084m
acs_dp02,acs_dp02_dp02_0084pe,dp02_0084pe
acs_dp02,acs_dp02_dp02_0084pm,dp02_0084pm
acs_dp02,acs_dp02_dp02_0085e,dp02_0085e
acs_dp02,acs_dp02_dp02_0085m,dp02_0085m
acs_dp02,acs_dp02_dp02_0085pe,dp02_0085pe
acs_dp02,acs_dp02_dp02_0085pm,dp02_0085pm
